Name,Capacity,Country,State,lat,lon
Arzew GNL 3Z LNG Plant Algeria,4700000,Algeria,Oran,35.80452,-0.24097
Arzew-GL1Z LNG Plant Algeria,7900000,Algeria,Oran,35.81237,-0.266489
Arzew-GL2Z LNG Plant Algeria,8200000,Algeria,Oran,35.81,-0.259678
Skikda Algeria LNG Plant Algeria,7850000,Algeria,Skikda,36.8779,6.9415
Angola LNG Plant Angola,5200000,Angola,Zaire,-6.11957,12.33596
Bahia Blanca GasPort (BBGP) Argentina,3800000,Argentina,Buenos Aires,-38.7855,-62.2869
GNL Escobar (Buenas Aires) FSRU LNG Terminal Argentina,4100000,Argentina,Buenos Aires,-34.2415,-58.7612
Darwin LNG Plant Australia,3600000,Australia,Northern Territory,-12.5221,130.8663
Gladstone LNG Plant Australia,7800000,Australia,Queensland,-23.776,151.2103
Queensland Curtis LNG Project Australia,8500000,Australia,Queensland,-23.7693,151.199
Australia Pacific LNG Project Australia,9000000,Australia,Queensland,-23.75583,151.19061
Pluto LNG Park Australia,4300000,Australia,Western Australia,-20.6128,116.76556
North West Shelf LNG Project Australia,17700000,Australia,Western Australia,-20.59424,116.7767
Gorgon LNG Plant Australia,15600000,Australia,Western Australia,-20.79,115.44965
Wheatstone LNG Plant Australia,8900000,Australia,Western Australia,-21.694,115.0021
Ichthys LNG Project Australia,8900000,Australia,Western Australia,-14.0555,122.7873
Prelude Floating LNG Project Australia,3600000,Australia,Western Australia,-14.33782,121.87
Zeebrugge LNG Terminal Belgium,,Belgium,West Flanders,51.35488,3.22188
Bahia Salvador FSRU LNG Terminal Brazil,4100000,Brazil,Bahia,-12.9812,-38.5586
Pecem FSRU LNG Terminal Brazil,2000000,Brazil,Ceara,-3.53192,-38.79775
Guanabara Bay FSRU LNG Terminal Brazil,5800000,Brazil,Rio de Janeiro,-22.782842,-43.13249
Brunei LNG Terminal Brunei Darussalam,7200000,Brunei Darussalam,Belait,4.6698,114.467
Canaport LNG Terminal Canada,7500000,Canada,New Brunswick,45.2114,-65.978
Mejillones LNG terminal Chile,1500000,Chile,II Region de Antofagasta,-23.0571,-70.367
Quintero LNG Terminal Chile,2700000,Chile,V Region de Valparaiso,-32.7787,-71.49001
Putian Fujian CNOOC LNG Terminal China,5200000,China,Fujian,25.2135,118.9983
Guangdong Dapeng CNOOC LNG Terminal and Trunkline Project China,6800000,China,Guangdong,22.5766,114.4364
Yuedong (Jieyang) CNOOC LNG Terminal China,2000000,China,Guangdong,22.9348,116.37143
Zhuhai CNOOC LNG Terminal China,3500000,China,Guangdong,21.90599,113.219326
Shenzhen Diefu CNOOC LNG Terminal China,4000000,China,Guangdong,22.59379,114.44446
Dongguan LNG Terminal China,1000000,China,Guangdong,22.95165,113.55488
Beihai SINOPEC LNG Terminal China,3000000,China,Guangxi Zhuang,21.4486,109.53212
Hainan CNOOC LNG Terminal China,2000000,China,Hainan,19.77768,109.16052
Tangshan PetroChina LNG terminal China,3500000,China,Hebei,38.9331,118.5329
Rudong Jiangsu PetroChina LNG Terminal China,6500000,China,Jiangsu,32.5292,121.428
Dalian PetroChina LNG Terminal China,6000000,China,Liaoning,38.9604,121.8841
