id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
GIE_N_0;Zeebrugge LNG Terminal;['GIE_LG_0'];['GIE_N_0'];51.323;3.213;BE;None;{'eic_code': '21X000000001006T', 'elevation_m': 1, 'exact': 2, 'facility_code': '21W0000000001245', 'name_short': 'Zeebrugge', 'nuts_id_1': 'BE2', 'nuts_id_2': 'BE25', 'nuts_id_3': 'BE251'};{'eic_code': 0, 'elevation_m': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'elevation_m': 'Bing API', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_N_1;Bilbao LNG Terminal;['GIE_LG_1'];['GIE_N_1'];43.3612;-3.09473;ES;None;{'eic_code': '21X000000001352A', 'elevation_m': 101, 'exact': 2, 'facility_code': '21W0000000000362', 'name_short': 'Bilbao', 'nuts_id_1': 'ES2', 'nuts_id_2': 'ES21', 'nuts_id_3': 'ES213'};{'eic_code': 0, 'elevation_m': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'elevation_m': 'Bing API', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_N_2;Barcelona LNG Terminal;['GIE_LG_2'];['GIE_N_2'];41.398;2.174;ES;None;{'eic_code': '21X000000001254A', 'elevation_m': 59, 'exact': 2, 'facility_code': '21W000000000039X', 'name_short': 'Barcelona', 'nuts_id_1': 'ES5', 'nuts_id_2': 'ES51', 'nuts_id_3': 'ES511'};{'eic_code': 0, 'elevation_m': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'elevation_m': 'Bing API', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_N_3;Cartagena LNG Terminal;['GIE_LG_3'];['GIE_N_3'];37.624;-0.998;ES;None;{'eic_code': '21X000000001254A', 'elevation_m': 21, 'exact': 2, 'facility_code': '21W000000000038Z', 'name_short': 'Cartagena', 'nuts_id_1': 'ES6', 'nuts_id_2': 'ES62', 'nuts_id_3': 'ES620'};{'eic_code': 0, 'elevation_m': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'elevation_m': 'Bing API', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_N_4;Huelva LNG Terminal;['GIE_LG_4'];['GIE_N_4'];37.2583;-6.9508;ES;None;{'eic_code': '21X000000001254A', 'elevation_m': 16, 'exact': 1, 'facility_code': '21W0000000000370', 'name_short': 'Huelva', 'nuts_id_1': 'ES6', 'nuts_id_2': 'ES61', 'nuts_id_3': 'ES615'};{'eic_code': 0, 'elevation_m': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'elevation_m': 'Bing API', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_N_5;Sagunto LNG Terminal;['GIE_LG_5'];['GIE_N_5'];39.6426;-0.2344;ES;None;{'eic_code': '18XTGPRS-12345-G', 'elevation_m': 45, 'exact': 1, 'facility_code': '21W0000000000354', 'name_short': 'Sagunto', 'nuts_id_1': 'ES5', 'nuts_id_2': 'ES52', 'nuts_id_3': 'ES523'};{'eic_code': 0, 'elevation_m': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'elevation_m': 'Bing API', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_N_6;Mugardos LNG Terminal;['GIE_LG_6'];['GIE_N_6'];43.4578;-8.253;ES;None;{'eic_code': '18XRGNSA-12345-V', 'elevation_m': 42, 'exact': 2, 'facility_code': '21W0000000000338', 'name_short': 'Mugardos', 'nuts_id_1': 'ES1', 'nuts_id_2': 'ES11', 'nuts_id_3': 'ES111'};{'eic_code': 0, 'elevation_m': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'elevation_m': 'Bing API', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_N_7;Fos Tonkin LNG Terminal;['GIE_LG_7'];['GIE_N_7'];43.454;4.85167;FR;None;{'eic_code': '21X0000000010679', 'elevation_m': 3, 'exact': 1, 'facility_code': '63W179356656691A', 'name_short': 'FosTonkin', 'nuts_id_1': 'FRL', 'nuts_id_2': 'FRL0', 'nuts_id_3': 'FRL04'};{'eic_code': 0, 'elevation_m': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'elevation_m': 'Bing API', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_N_8;Montoir de Bretagne LNG Terminal;['GIE_LG_8'];['GIE_N_8'];47.32;-2.14;FR;None;{'eic_code': '21X0000000010679', 'elevation_m': 3, 'exact': 2, 'facility_code': '63W631527814486R', 'name_short': 'MontoirDeBretagne', 'nuts_id_1': 'FRG', 'nuts_id_2': 'FRG0', 'nuts_id_3': 'FRG01'};{'eic_code': 0, 'elevation_m': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'elevation_m': 'Bing API', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_N_9;Dunkerque LNG Terminal;['GIE_LG_9'];['GIE_N_9'];51.033134;2.194792;FR;None;{'eic_code': '21X000000001331I', 'elevation_m': 1, 'exact': 1, 'facility_code': '21W0000000000451', 'name_short': 'Dunkerque', 'nuts_id_1': 'FRE', 'nuts_id_2': 'FRE1', 'nuts_id_3': 'FRE11'};{'eic_code': 0, 'elevation_m': 0, 'exact': 0, 'facility_code': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'elevation_m': 'Bing API', 'exact': 'raw', 'facility_code': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
