id;name;source_id;node_id;lat;long;country_code;comment;param;uncertainty;method;tags
GIE_SR_20;UGS Haidach (astora);['GIE_SR_20'];['GIE_N_20'];37.9583;-8.8048;PT;None;{'eic_code': '21X000000001160J', 'facility_code': '21W000000000078N', 'max_cap_pipe2store_M_m3_per_d': 9.201386593270938, 'max_cap_store2pipe_M_m3_per_d': 8.72543763572628, 'max_workingGas_M_m3': 11.3451, 'name_short': 'Haidach', 'nuts_id_1': 'PT1', 'nuts_id_2': 'PT18', 'nuts_id_3': 'PT181'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_SR_21;UGS Haidach (GSA);['GIE_SR_21'];['GIE_N_21'];47.9867;13.232375;AT;None;{'eic_code': '25X-GSALLC-----E', 'facility_code': '25W-SPHAID-GAZ-M', 'max_cap_pipe2store_M_m3_per_d': 18.385178030994936, 'max_cap_store2pipe_M_m3_per_d': 16.245607116487346, 'max_workingGas_M_m3': 21.3189, 'name_short': 'Haidach', 'nuts_id_1': 'AT3', 'nuts_id_2': 'AT32', 'nuts_id_3': 'AT323'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_SR_22;VGS OMV Gas Storage Pool (Tallesbrunn & Schoenkirchen / Reyersdorf);['GIE_SR_22'];['GIE_N_22'];48.355222;16.778209;AT;None;{'eic_code': '25X-OMVGASSTORA5', 'facility_code': '21W000000000081Y', 'max_cap_pipe2store_M_m3_per_d': 29.85018138537938, 'max_cap_store2pipe_M_m3_per_d': 21.253188385145744, 'max_workingGas_M_m3': 28.094, 'name_short': 'Tallesbrunn', 'nuts_id_1': 'AT1', 'nuts_id_2': 'AT12', 'nuts_id_3': 'AT126'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_SR_23;RAG Storage Pool (Puchkirchen / Haag, Aigelsbrunn, Haidach 5, Nussdorf / Zagling);['GIE_SR_23'];['GIE_N_23'];47.981978;13.312084;AT;None;{'eic_code': '23X----100225-1C', 'facility_code': '21W000000000079L', 'max_cap_pipe2store_M_m3_per_d': 19.623876981499333, 'max_cap_store2pipe_M_m3_per_d': 17.734157275758253, 'max_workingGas_M_m3': 20.081, 'name_short': 'Haidach', 'nuts_id_1': 'AT3', 'nuts_id_2': 'AT32', 'nuts_id_3': 'AT323'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_SR_24;UGS 7 Fields (Uniper Energy Storage) - AT;['GIE_SR_24'];['GIE_N_24'];47.962006;13.356863;AT;None;{'eic_code': '21X000000001127H', 'facility_code': '21W000000000057V', 'max_cap_pipe2store_M_m3_per_d': 21.35172125620859, 'max_cap_store2pipe_M_m3_per_d': 14.235360595249741, 'max_workingGas_M_m3': 19.415, 'name_short': '7Fields', 'nuts_id_1': 'AT3', 'nuts_id_2': 'AT32', 'nuts_id_3': 'AT323'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_SR_25;UGS Loenhout;['GIE_SR_25'];['GIE_N_25'];51.386993;4.703353;BE;None;{'eic_code': '21X-BE-A-A0A0A-Y', 'facility_code': '21Z000000000102A', 'max_cap_pipe2store_M_m3_per_d': 16.337981683108765, 'max_cap_store2pipe_M_m3_per_d': 7.964447158321235, 'max_workingGas_M_m3': 9.0013, 'name_short': 'Loenhout', 'nuts_id_1': 'BE2', 'nuts_id_2': 'BE21', 'nuts_id_3': 'BE211'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_SR_26;UGS Chiren;['GIE_SR_26'];['GIE_N_26'];43.349887;23.592123;BG;None;{'eic_code': '21X-BG-A-A0A0A-C', 'facility_code': '21W000000000031C', 'max_cap_pipe2store_M_m3_per_d': 3.5102335316140203, 'max_cap_store2pipe_M_m3_per_d': 4.212280237936825, 'max_workingGas_M_m3': 6.27, 'name_short': 'Chiren', 'nuts_id_1': 'BG3', 'nuts_id_2': 'BG31', 'nuts_id_3': 'BG313'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_SR_27;VGS Innogy Virtual Storage (Haje, Tranovice, Stramberk, Tvrdonice, Dolni Dunajovice, Lobodice);['GIE_SR_27'];['GIE_N_27'];48.872481;16.609626;CZ;None;{'eic_code': '27XG-RWE-GAS-STI', 'facility_code': '21W000000000076R', 'max_cap_pipe2store_M_m3_per_d': 38.165651896862016, 'max_cap_store2pipe_M_m3_per_d': 28.748724648141092, 'max_workingGas_M_m3': 29.2989, 'name_short': 'Lobodice', 'nuts_id_1': 'CZ0', 'nuts_id_2': 'CZ06', 'nuts_id_3': 'CZ064'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_SR_30;UGS Dolni Bojanovice;['GIE_SR_30'];['GIE_N_30'];48.871374;17.028471;CZ;None;{'eic_code': '27X-SPPSTORAGE-R', 'facility_code': '21W000000000074V', 'max_cap_pipe2store_M_m3_per_d': 8.408724835881406, 'max_cap_store2pipe_M_m3_per_d': 6.540119316796649, 'max_workingGas_M_m3': 6.9439, 'name_short': 'DolniBojanovice', 'nuts_id_1': 'CZ0', 'nuts_id_2': 'CZ06', 'nuts_id_3': 'CZ064'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
GIE_SR_31;UGS Jemgum H (astora);['GIE_SR_31'];['GIE_N_31'];53.253484;7.388862;DE;None;{'eic_code': '21X000000001160J', 'facility_code': '21W0000000001148', 'max_cap_pipe2store_M_m3_per_d': 18.411570764315343, 'max_cap_store2pipe_M_m3_per_d': 11.976142623022973, 'max_workingGas_M_m3': 8.2901, 'name_short': 'JemgumH', 'nuts_id_1': 'DE9', 'nuts_id_2': 'DE94', 'nuts_id_3': 'DE94C'};{'eic_code': 0, 'facility_code': 0, 'max_cap_pipe2store_M_m3_per_d': 0.0, 'max_cap_store2pipe_M_m3_per_d': 0.0, 'max_workingGas_M_m3': 0, 'name_short': 0, 'nuts_id_1': 0, 'nuts_id_2': 0, 'nuts_id_3': 0};{'eic_code': 'raw', 'facility_code': 'raw', 'max_cap_pipe2store_M_m3_per_d': 'raw', 'max_cap_store2pipe_M_m3_per_d': 'raw', 'max_workingGas_M_m3': 'raw', 'name_short': 'raw', 'nuts_id_1': 'M_Consumers.add_Nuts_Num()', 'nuts_id_2': 'M_Consumers.add_Nuts_Num()', 'nuts_id_3': 'M_Consumers.add_Nuts_Num()'};{}
