Kraftwerk,Typ,Bezirk
Wasserkraftwerk Werfen/Pfarrwerfen,Wasserkraftwerk,Pongau
Biogasanlage Graskraft Reitbach,Biomasse-Heiz(kraft)werk,Flachgau
Biomasse Heizwerk Radstadt,Biomasse-Heiz(kraft)werk,Pongau
Biomasse Heizwerk Bramberg,Biomasse-Heiz(kraft)werk,Pinzgau
Abwärmeanlage AustroCel Hallein,Abwärmeanlagen,Tennengau
Wasserkraftwerk Zederhaus,Wasserkraftwerk,Lungau
Wasserkraftwerk Urreiting,Wasserkraftwerk,Pongau
Biomasse Heizwerk Bruck a. d. Glocknerstraße,Biomasse-Heiz(kraft)werk,Pinzgau
Wasserkraftwerk Urstein,Wasserkraftwerk,Tennengau
Wasserkraftwerk Wald im Pinzgau,Wasserkraftwerk,Pinzgau
Wasserkraftwerk Wiestal-Ausgleichsbecken,Wasserkraftwerk,Tennengau
Wasserkraftwerk Wiestal,Wasserkraftwerk,Tennengau
Wasserkraftwerk Hollersbach,Wasserkraftwerk,Pinzgau
Abwärmeanlage Kaindl,Abwärmeanlagen,Stadt Salzburg
Biomasse Heizkraftwerk Siezenheim,Biomasse-Heiz(kraft)werk,Flachgau
Biomasse Heizwerk Fusch a. d. Glocknerstrasse,Biomasse-Heiz(kraft)werk,Pinzgau
Biogasanlage Graskraft Steindorf,Biomasse-Heiz(kraft)werk,Flachgau
Biomasse Heizwerk Wald im Pinzgau,Biomasse-Heiz(kraft)werk,Pinzgau
Wasserkraftwerk Trattenbach,Wasserkraftwerk,Pinzgau
Biomasse Heizwerk Saalfelden,Biomasse-Heiz(kraft)werk,Pinzgau
HKW Nord Power to heat,Heiz(kraft)werk,Stadt Salzburg
PV-Anlage Umspannstation Maxglan,Photovoltaikanlage,Salzburg
PV-Anlage Bayerhamerstraße,Photovoltaikanlage,Stadt Salzburg
PV-Anlage Geschäftsstelle Golling,Photovoltaikanlage,Tennengau
HKW Mitte Power to heat,Heiz(kraft)werk,Stadt Salzburg
PV-Anlage Zentrallager Salzburg AG,Photovoltaikanlage,Stadt Salzburg
Wasserkraftwerk Sohlstufe Hallein,Wasserkraftwerk,Tennengau
PV-Anlage Bahnhof Lamprechtshausen,Photovoltaikanlage,Flachgau
Wärmespeicher HKW Nord,Wärmespeicher,Stadt Salzburg
Ökoenergie Bergheim,Heizkraftwerk,Flachgau
Heizwerk Schwarzenbergkaserne,Heiz(kraft)werk,Flachgau
PV-Anlage Geslau 1 - DE,Photovoltaik­anlage,Bayern
PV-Anlage Rosengarten - DE,Photovoltaikanlage,Baden-Württemberg
PV-Anlage Frankenhardt - DE,Photovoltaikanlage,Baden-Württemberg
Wasserkraftwerk Hintermuhr,Wasserkraftwerk,Lungau
Wasserkraftwerk Rott,Wasserkraftwerk,Flachgau
Wasserkraftwerk Forellenhof,Laufkraftwerk,Pongau
Heizwerk Nord Block 2,Heiz(kraft)werk,Stadt Salzburg
Wasserkraftwerk Gries,Wasserkraftwerk,Pinzgau
Heizwerk Elsbethen,Heiz(kraft)werk,Flachgau
PV-Anlage Löcknitz - DE,Photovoltaikanlage,Mecklenburg-Vorpommern
PV-Anlage Pampow - DE,Photovoltaikanlage,Mecklenburg-Vorpommern
PV-Anlage Prenzlau - DE,Photovoltaikanlage,Brandenburg
PV-Anlage Werkschulheim Felbertal,Photovoltaikanlage,Tennengau
PV-Anlage Gemeinde Bergheim - Stockhalle,Photovoltaikanlage,Flachgau
Wasserkraftwerk Rotgülden,Wasserkraftwerk,Lungau
Wasserkraftwerk Strubklamm,Wasserkraftwerk,Tennengau
PV-Anlage Kirchheim - DE,Photovoltaikanlage,Bayern
Wasserkraftwerk Bischofshofen,Wasserkraftwerk,Pongau
PV-Anlage Steinsfeld - DE,Photovoltaikanlage,Bayern
Wasserkraftwerk Hammer,Wasserkraftwerk,Tennengau
PV-Anlage Heizwerk Hallein,Photovoltaikanlage,Tennengau
PV-Anlage UW Seekirchen,Photovoltaikanlage,Flachgau
PV-Anlage Mehring - DE,Photovoltaikanlage,Bayern
Wasserkraftwerk Remsach,Wasserkraftwerk,Pongau
PV-Anlage St. Michael,Photovoltaikanlage,Lungau
Wasserkraftwerk Murfall,Wasserkraftwerk,Lungau
Heizkraftwerk Salzburg Nord,Heiz(kraft)werk,Stadt Salzburg
Wasserkraftwerk St. Johann im Pongau,Wasserkraftwerk,Pongau
Wasserkraftwerk Bachwinkl,Wasserkraftwerk,Pinzgau
Wasserkraftwerk Gamp,Wasserkraftwerk,Tennengau
PV-Anlage St. Johann,Photovoltaikanlage,Pongau
Heizkraftwerk Salzburg Mitte,Heiz(kraft)werk,Stadt Salzburg
Wasserkraftwerk Bärenwerk,Wasserkraftwerk,Pinzgau
PV-Anlage Blankensee - DE,Photovoltaikanlage,Mecklenburg-Vorpommern
PV-Anlage Messezentrum,Photovoltaikanlage,Stadt Salzburg
Wasserkraftwerk Kreuzbergmaut,Wasserkraftwerk,Pongau
PV-Anlage SALK/Chirurgie West,Photovoltaikanlage,Salzburg
Wasserkraftwerk Sohlstufe Lehen,Wasserkraftwerk,Stadt Salzburg
PV-Anlage Umspannstation Mittersill,Photovoltaikanlage,Pinzgau
PV-Anlage Geslau 2 - DE,Photovoltaikanlage,Bayern
PV-Anlage Salzburger Sonnengemeinschaft,Photovoltaikanlage,Salzburg
Wasserkraftwerk Böckstein,Wasserkraftwerk,Pongau
Heizwerk Steamblock Mitte,Heiz(kraft)werk,Stadt Salzburg
PV-Anlage Flughafen Salzburg,Photovoltaikanlage,Flachgau
Biogas-Blockheizkraftwerk Austrocel Hallein,Heiz(kraft)werk,Tennengau
Wasserkraftwerk Eichetmühle,Wasserkraftwerk,Flachgau
PV-Anlage HTL Salzburg,Photovoltaikanlage,Stadt Salzburg
Wasserkraftwerk Dießbach,Wasserkraftwerk,Pinzgau
Wasserkraftwerk Nassfeld,Wasserkraftwerk,Pongau
Heizwerk Hallein,Heiz(kraft)werk,Tennengau
PV-Anlage Hagebaumarkt, Freilassing - DE,Photovoltaikanlage,Bayern
PV-Anlage Chieming - DE,Photovoltaikanlage,Bayern
PV-Anlage Oberradach - DE,Photovoltaikanlage,Bayern
Wasserkraftwerk Fritzbach,Wasserkraftwerk,Pongau
Heizwerk Salk,Heiz(kraft)werk,Stadt Salzburg
