imo,ship,build,GT,DWT,size,type
9388819,LIJMILIYA,2009,168189,155159,345 / 55,LNG Tanker
9372743,AL GHUWAIRIYA,2008,168189,154940,345 / 55,LNG Tanker
9388821,AL SAMRIYA,2009,168189,154900,345 / 55,LNG Tanker
9388833,BU SAMRA,2008,163922,130442,345 / 54,LNG Tanker
9431214,ZARGA,2010,163922,130211,345 / 54,LNG Tanker
9443413,RASHEEDA,2010,163922,130208,345 / 54,LNG Tanker
9443401,AAMIRA,2010,163922,130026,345 / 54,LNG Tanker
9337755,MOZAH,2008,163922,130102,345 / 54,LNG Tanker
9397303,MEKAINES,2009,163922,130171,345 / 54,LNG Tanker
9397298,AL MAYEDA,2009,163922,130298,345 / 54,LNG Tanker
9443683,AL DAFNA,2009,163922,130157,345 / 54,LNG Tanker
9418365,SHAGRA,2009,163922,130102,345 / 54,LNG Tanker
9397315,AL MAFYAR,2009,163922,130441,345 / 54,LNG Tanker
9796793,BUSHU MARU,2019,149367,97955,298 / 49,LNG Tanker
9774628,LNG JUNO,2018,149367,97917,298 / 49,LNG Tanker
9796781,NOHSHU MARU,2019,149367,97902,298 / 49,LNG Tanker
9698123,PACIFIC BREEZE,2018,144978,92830,300 / 52,LNG Tanker
9779226,DIAMOND GAS ORCHID,2018,144828,94028,294 / 49,LNG Tanker
9779238,DIAMOND GAS ROSE,2018,144828,94145,294 / 49,LNG Tanker
9810020,DIAMOND GAS SAKURA,2019,144828,87494,294 / 49,LNG Tanker
9540716,GRACE DAHLIA,2013,141671,86512,300 / 52,LNG Tanker
9483877,ENERGY HORIZON,2011,141136,87257,300 / 52,LNG Tanker
9770440,MARVEL HERON,2019,139050,92659,298 / 49,LNG Tanker
9770438,MARVEL CRANE,2019,139049,92799,298 / 49,LNG Tanker
9337951,AL RUWAIS,2007,137535,121823,315 / 50,LNG Tanker
9337975,DUHAIL,2008,137535,121639,315 / 50,LNG Tanker
9337963,AL SAFLIYA,2007,137535,121963,315 / 50,LNG Tanker
9337987,AL GHARIYA,2008,137535,121730,315 / 50,LNG Tanker
9397353,ONAIZA,2009,136980,121939,315 / 50,LNG Tanker
9397341,AL SADD,2009,136980,121913,315 / 50,LNG Tanker
9431135,AL NUAMAN,2009,136980,121910,315 / 50,LNG Tanker
9431123,AL KARAANA,2009,136980,122052,315 / 50,LNG Tanker
9431111,AL KHATTIYA,2009,136980,121946,315 / 50,LNG Tanker
9360831,AL SHEEHANIYA,2009,136980,122006,315 / 50,LNG Tanker
9431147,AL BAHIYA,2010,136980,121957,315 / 50,LNG Tanker
9698111,OCEANIC BREEZE,2018,136894,79883,288 / 49,LNG Tanker
9666558,SEISHU MARU,2014,136740,86414,288 / 49,LNG Tanker
9666560,ESSHU MARU,2014,136740,86455,288 / 49,LNG Tanker
9666998,LNG JUROJIN,2015,136739,86121,288 / 49,LNG Tanker
9696149,LNG SATURN,2016,136739,86044,288 / 49,LNG Tanker
9743875,PACIFIC MIMOSA,2018,136716,86497,288 / 49,LNG Tanker
9645748,LNG MARS,2016,136710,86161,288 / 49,LNG Tanker
9645736,LNG VENUS,2014,136710,86241,288 / 49,LNG Tanker
9360829,UMM AL AMAD,2008,136685,121730,315 / 50,LNG Tanker
9338266,AL AAMRIYA,2008,136685,121935,315 / 50,LNG Tanker
9360817,FRAIHA,2008,136685,121914,306 / 50,LNG Tanker
9360805,MURWAB,2008,136685,121843,315 / 50,LNG Tanker
9360790,AL ORAIQ,2008,136685,122079,315 / 50,LNG Tanker
9337717,AL GHARRAFA,2008,136410,106898,315 / 50,LNG Tanker
9337731,TEMBEK,2007,136410,106896,315 / 50,LNG Tanker
9337705,AL GATTARA,2007,136410,106898,315 / 50,LNG Tanker
9337743,AL HAMLA,2008,136410,106983,315 / 50,LNG Tanker
9360843,AL THUMAMA,2008,136355,104701,315 / 50,LNG Tanker
9360867,AL UTOURIYA,2008,136355,104561,315 / 50,LNG Tanker
9360855,AL SAHLA,2008,136355,104666,315 / 50,LNG Tanker
9397339,AL REKAYYAT,2009,136168,107160,315 / 50,LNG Tanker
9337729,MESAIMEER,2009,136168,107160,315 / 50,LNG Tanker
9397327,AL KHARAITIYAT,2009,136168,107153,315 / 50,LNG Tanker
9774135,LNG SAKURA,2018,135977,82137,300 / 49,LNG Tanker
9791200,SHINSHU MARU,2019,135951,82287,300 / 49,LNG Tanker
9791212,SOHSHU MARU,2019,135951,82254,300 / 49,LNG Tanker
9360893,LNGC AL SHAMAL,2008,135848,109662,315 / 50,LNG Tanker
9360908,AL KHUWAIR,2008,135848,109555,315 / 50,LNG Tanker
9360879,AL HUWAILA,2008,135848,109503,315 / 50,LNG Tanker
9360881,AL KHARSAAH,2008,135848,109484,315 / 50,LNG Tanker
