imo,ship,build,GT,DWT,size,type,lat,lon
9388819,LIJMILIYA,2009,168189,155159,345 / 55,LNG Tanker,6.69627,77.42957
9372743,AL GHUWAIRIYA,2008,168189,154940,345 / 55,LNG Tanker,6.42555,95.11727
9388821,AL SAMRIYA,2009,168189,154900,345 / 55,LNG Tanker,39.92342,-10.14878
9388833,BU SAMRA,2008,163922,130442,345 / 54,LNG Tanker,6.2546,95.26184
9397315,AL MAFYAR,2009,163922,130441,345 / 54,LNG Tanker,1.39792,104.46966
9397298,AL MAYEDA,2009,163922,130298,345 / 54,LNG Tanker,6.38067,95.45883
9431214,ZARGA,2010,163922,130211,345 / 54,LNG Tanker,6.82942,76.99568
9443413,RASHEEDA,2010,163922,130208,345 / 54,LNG Tanker,25.90047,51.64906
9397303,MEKAINES,2009,163922,130171,345 / 54,LNG Tanker,1.42673,104.49293
9443683,AL DAFNA,2009,163922,130157,345 / 54,LNG Tanker,6.1781,95.16098
9418365,SHAGRA,2009,163922,130102,345 / 54,LNG Tanker,25.97223,51.83467
9337755,MOZAH,2008,163922,130102,345 / 54,LNG Tanker,32.51298,121.89811
9372731,UMM SLAL,2008,163922,130059,345 / 54,LNG Tanker,32.5496,121.43164
9443401,AAMIRA,2010,163922,130026,345 / 54,LNG Tanker,29.00017,32.81543
9360790,AL ORAIQ,2008,136685,122079,315 / 50,LNG Tanker,35.75973,-24.07977
9431123,AL KARAANA,2009,136980,122052,315 / 50,LNG Tanker,1.59294,104.68013
9360831,AL SHEEHANIYA,2009,136980,122006,315 / 50,LNG Tanker,29.77107,32.58559
9337963,AL SAFLIYA,2007,137535,121963,315 / 50,LNG Tanker,6.1027,78.53719
9431147,AL BAHIYA,2010,136980,121957,315 / 50,LNG Tanker,20.63219,71.99401
9431111,AL KHATTIYA,2009,136980,121946,315 / 50,LNG Tanker,26.13346,-78.32462
9397353,ONAIZA,2009,136980,121939,315 / 50,LNG Tanker,19.23618,63.7758
9338266,AL AAMRIYA,2008,136685,121935,315 / 50,LNG Tanker,91.0,181.0
9360817,FRAIHA,2008,136685,121914,306 / 50,LNG Tanker,1.41283,104.49498
9397341,AL SADD,2009,136980,121913,315 / 50,LNG Tanker,21.9828,114.58044
9431135,AL NUAMAN,2009,136980,121910,315 / 50,LNG Tanker,6.4507,95.112
9360805,MURWAB,2008,136685,121843,315 / 50,LNG Tanker,32.7141,26.21031
9337951,AL RUWAIS,2007,137535,121823,315 / 50,LNG Tanker,35.93584,14.88687
9360829,UMM AL AMAD,2008,136685,121730,315 / 50,LNG Tanker,12.31358,43.94403
9337987,AL GHARIYA,2008,137535,121730,315 / 50,LNG Tanker,26.43466,56.18581
9337975,DUHAIL,2008,137535,121639,315 / 50,LNG Tanker,6.58842,77.87206
9360893,LNGC AL SHAMAL,2008,135848,109662,315 / 50,LNG Tanker,12.26184,44.03757
9360908,AL KHUWAIR,2008,135848,109555,315 / 50,LNG Tanker,36.30364,-1.89112
9360879,AL HUWAILA,2008,135848,109503,315 / 50,LNG Tanker,33.83342,134.92645
9360881,AL KHARSAAH,2008,135848,109484,315 / 50,LNG Tanker,13.52096,71.22557
9397286,AL GHASHAMIYA,2009,135423,108988,315 / 50,LNG Tanker,21.95985,37.76927
9886744,CLEAN COPANO,2022,128737,107817,300 / 49,LNG Tanker,38.35502,121.4847
9886732,CLEAN CAJUN,2022,128737,107662,300 / 49,LNG Tanker,22.39639,122.03736
9397339,AL REKAYYAT,2009,136168,107160,315 / 50,LNG Tanker,34.31075,140.39626
9337729,MESAIMEER,2009,136168,107160,315 / 50,LNG Tanker,25.93322,51.59929
9397327,AL KHARAITIYAT,2009,136168,107153,315 / 50,LNG Tanker,12.44233,101.13817
9337743,AL HAMLA,2008,136410,106983,315 / 50,LNG Tanker,6.18078,95.16028
9337717,AL GHARRAFA,2008,136410,106898,315 / 50,LNG Tanker,57.59603,11.25695
9337705,AL GATTARA,2007,136410,106898,315 / 50,LNG Tanker,29.89721,122.08868
9337731,TEMBEK,2007,136410,106896,315 / 50,LNG Tanker,53.91305,3.25506
9360843,AL THUMAMA,2008,136355,104701,315 / 50,LNG Tanker,13.0287,71.67936
9360855,AL SAHLA,2008,136355,104666,315 / 50,LNG Tanker,36.91628,126.01605
9360867,AL UTOURIYA,2008,136355,104561,315 / 50,LNG Tanker,12.32603,43.95849
9692014,LNG LAGOS II,2016,115995,99025,300 / 46,LNG Tanker,10.69205,-18.09284
9692002,LNG BONNY II,2015,115995,98954,300 / 46,LNG Tanker,36.82775,-75.80392
9877133,LNG ROSENROT,2021,119891,98936,298 / 48,LNG Tanker,50.03463,-2.83861
9877145,GAIL BHUWAN,2021,119891,98882,298 / 48,LNG Tanker,35.95586,16.67612
9771913,LNG SCHNEEWEISSCHEN,2018,119660,98747,298 / 48,LNG Tanker,31.60808,31.75962
9761853,HYUNDAI PEACEPIA,2017,115541,98344,296 / 46,LNG Tanker,21.03967,-111.82513
9761841,HYUNDAI PRINCEPIA,2017,115541,98344,295 / 46,LNG Tanker,8.44868,-79.45056
9761839,SM SEAHAWK,2017,115716,98064,295 / 46,LNG Tanker,12.26215,-92.60334
9761827,SM EAGLE,2017,115716,97975,295 / 46,LNG Tanker,18.09503,-106.38305
9796793,BUSHU MARU,2019,149367,97955,298 / 49,LNG Tanker,-16.35658,113.16184
9774628,LNG JUNO,2018,149367,97917,298 / 49,LNG Tanker,19.05139,64.26251
9796781,NOHSHU MARU,2019,149367,97902,298 / 49,LNG Tanker,27.87092,-78.0579
9434266,VALENCIA KNUTSEN,2010,110920,97730,290 / 46,LNG Tanker,-23.84714,151.62537
9414632,SEVILLA KNUTSEN,2010,110920,97730,290 / 46,LNG Tanker,37.16354,0.76207
9401295,BARCELONA KNUTSEN,2010,110920,97730,290 / 46,LNG Tanker,-22.80868,152.87845
9918004,DAEWOO 2514,2023,131345,97700,-,LNG Tanker,91.0,181.0
9810551,PRISM BRILLIANCE,2019,122166,97494,299 / 48,LNG Tanker,27.7218,-78.38108
9810549,PRISM AGILITY,2019,122166,97494,299 / 48,LNG Tanker,45.96607,-10.00521
9888481,PRISM COURAGE,2021,122166,97494,299 / 48,LNG Tanker,28.75097,-95.20272
9768368,BORIS VILKITSKY,2017,128806,96958,299 / 50,LNG Tanker,71.8403,30.0232
9383900,STENA CRYSTAL SKY,2011,109949,96889,298 / 46,LNG Tanker,37.98911,24.67841
9768526,NIKOLAY ZUBOV,2019,122806,96865,299 / 50,LNG Tanker,70.25388,13.98059
9750658,VLADIMIR VIZE,2018,128806,96851,299 / 50,LNG Tanker,37.57312,-0.96445
9768382,GEORGIY BRUSILOV,2018,128806,96847,299 / 50,LNG Tanker,71.20653,32.29834
9750701,VLADIMIR RUSANOV,2018,128806,96844,299 / 50,LNG Tanker,51.1945,-6.22746
9750696,EDUARD TOLL,2017,128975,96840,299 / 50,LNG Tanker,71.71967,30.77374
9750737,VLADIMIR VORONIN,2019,128969,96840,299 / 50,LNG Tanker,38.86645,118.70613
9750672,YAKOV GAKKEL,2019,128969,96839,299 / 50,LNG Tanker,64.0763,5.39143
9768370,FEDOR LITKE,2017,128806,96839,299 / 50,LNG Tanker,53.64904,3.63721
9750725,NIKOLAY YEVGENOV,2019,128969,96821,299 / 50,LNG Tanker,71.73556,28.30059
