,Name,Typ,Gewässer,Land,Bundesland,Leistung in MW,lat,lon
0,Abwinden-Asten,Laufwasserkraftwerk,Donau,AT,OÖ,1680,48.2476453,14.430104777650632
1,Altenmarkt,Laufwasserkraftwerk,Enns,AT,Stmk,210,46.7728451,15.5403253
2,Altenwörth,Laufwasserkraftwerk,Donau,AT,NÖ,3280,48.3844998,15.8595378
3,Annabrücke,Laufwasserkraftwerk,Drau,AT,Kärnten,900,46.5729635,14.4913602
4,Arnstein,Speicherkraftwerk,Teigitsch,AT,Stmk,300,47.0266797,15.1709872
5,Aschach,Laufwasserkraftwerk,Donau,AT,OÖ,2874,48.3287897,13.8476913
6,Aubach,Laufwasserkraftwerk,Isen,DE,Bayern,4,48.1134588,11.5638294
7,Bischofshofen,Laufwasserkraftwerk,Salzach,AT,Sbg,160,47.4168029,13.2170933
8,Bodendorf-Mur,Laufwasserkraftwerk,Mur,AT,Stmk,70,47.10771815,14.065431562311822
9,Bodendorf-Paal,Speicherkraftwerk,Mur,AT,Stmk,270,47.0799558,14.0320413
10,Bösdornau,Laufwasserkraftwerk,Tuxbach,AT,Tirol,253,47.1341208,11.8184787
11,Braunau-Simbach,Laufwasserkraftwerk,"Inn, Salzach","AT, DE","OÖ, Bayern",1000,,
12,Bruck a.d. Leitha,Wind,,AT,NÖ,490,48.030394799999996,16.75801830741043
13,Dionysen,Laufwasserkraftwerk,Mur,AT,Stmk,160,47.4144811,15.2029326
14,Dürnrohr,Wärmekraftwerk,,AT,NÖ,4050,48.3317967,15.8991336
15,Edling,Laufwasserkraftwerk,Drau,AT,Kärnten,870,46.794066,13.5150084
16,Egglfing-Obernberg (BY/OÖ),Laufwasserkraftwerk,Inn,"AT, DE","OÖ, Bayern",807,,
17,Ering-Frauenstein (BY/OÖ),Laufwasserkraftwerk,Inn,"AT, DE","OÖ, Bayern",729,,
18,Erzbach,Laufwasserkraftwerk,Enns,AT,Stmk,11,47.5734604,14.8366558
19,Feistritz-Ludmannsdorf,Laufwasserkraftwerk,Drau,AT,Kärnten,880,46.53508635,14.17115092936584
20,Feldkirchen,Laufwasserkraftwerk,Inn,DE,Bayern,382,48.1475774,11.7299205
21,Ferlach-Maria Rain,Laufwasserkraftwerk,Drau,AT,Kärnten,750,46.5462647,14.298638594592479
22,Fisching,Laufwasserkraftwerk,Mur,AT,Stmk,201,47.1632919,14.7391881
23,Freudenau,Laufwasserkraftwerk,Donau,AT,Wien,1720,48.1858519,16.43845173872922
24,Friesach,Laufwasserkraftwerk,Mur,AT,Stmk,120,47.1707585,15.3372212
25,Funsingau,Speicherkraftwerk,Salzach,AT,"Sbg, Tirol",250,,
26,Gabersdorf,Laufwasserkraftwerk,Mur,AT,Stmk,145,46.7813377,15.5881617
27,Gars,Laufwasserkraftwerk,Inn,DE,Bayern,250,48.1475012,12.2984738
28,Garsten-St. Ulrich,Laufwasserkraftwerk,Enns,AT,OÖ,353,48.0180536,14.411815939385475
29,Gasselsdorf,Laufwasserkraftwerk,Mur,AT,Stmk,1,46.7403158,15.3211151
30,Gerlos,Speicherkraftwerk,Gerlosbach,AT,Tirol,2000,47.20911125,12.029656795913978
31,Gössendorf,Laufwasserkraftwerk,Mur,AT,Stmk,180,46.9969426,15.4869681
32,Gralla,Laufwasserkraftwerk,Mur,AT,Stmk,145,46.811407,15.5526074
33,Greifenstein,Laufwasserkraftwerk,Donau,AT,NÖ,2930,48.345094,16.2408702
